id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1036542;Shadow and Bone - The Afterparty;MOVIE;2021;R;[];0.000000;1.667000;1.667000
tm1036797;Sardar Ka Grandson;MOVIE;2021;;['comedy', 'drama', 'romance'];4.200000;5.578000;5.578000
tm1036794;Wave of Cinema: Filosofi Kopi;MOVIE;2020;;['documentation', 'music'];0.000000;0.908000;0.908000
tm1036270;I Am All Girls;MOVIE;2021;;['thriller', 'crime', 'drama'];5.900000;43.887001;43.887001
tm1033470;Till Death;MOVIE;2021;R;['horror', 'thriller'];5.800000;21.514000;21.514000
tm103095;Ip Man 2;MOVIE;2010;R;['drama', 'action', 'history', 'sport'];7.500000;4.516000;4.516000
tm1028083;Red Snow;MOVIE;2019;;['drama'];4.500000;2.503000;2.503000
tm101914;The Fighter;MOVIE;2010;R;['drama'];0.000000;17.007000;17.007000
tm1037519;The Guide to the Perfect Family;MOVIE;2021;;['comedy', 'drama'];6.400000;26.084999;26.084999
tm1037704;Resort to Love;MOVIE;2021;PG;['romance', 'comedy'];5.700000;42.837002;42.837002
tm1038025;Slay;MOVIE;2021;;['romance', 'comedy'];3.200000;1.676000;1.676000
tm1037800;Soy Rada: Serendipity;MOVIE;2021;;['comedy', 'drama'];6.200000;7.514000;7.514000
tm1037687;Dancing Queens;MOVIE;2021;;['drama', 'comedy'];5.600000;23.443001;23.443001
tm1038327;Beckett;MOVIE;2021;R;['crime', 'thriller', 'action', 'drama'];5.600000;86.211998;86.211998
tm1038355;The Last Mercenary;MOVIE;2021;;['action', 'comedy', 'crime', 'thriller'];5.300000;108.088997;108.088997
tm1038344;Awake;MOVIE;2021;R;['drama', 'scifi', 'thriller', 'action'];4.900000;89.153999;89.153999
tm1038096;Carnaval;MOVIE;2021;;['comedy'];4.000000;27.733000;27.733000
tm1038364;Ghost Lab;MOVIE;2021;;['thriller', 'drama', 'horror', 'scifi'];5.100000;50.321999;50.321999
