id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm423140;Avengement;MOVIE;2019;;['action', 'crime', 'thriller'];6,5;17,407;6,8
tm348403;A Shaun the Sheep Movie: Farmageddon;MOVIE;2019;G;['family', 'comedy', 'animation', 'fantasy', 'scifi'];6,8;16,792;6,93
ts87364;Conversations with a Killer: The Ted Bundy Tapes;SHOW;2019;TV-MA;['documentation', 'crime', 'history'];7,8;14,137;7,6
tm878842;The Edge of All We Know;MOVIE;2020;;['documentation'];6,6;7,7;6,8
tm453099;Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese;MOVIE;2019;;['documentation', 'music', 'history'];7,6;9,859;7,2
tm446176;American Factory;MOVIE;2019;;['documentation'];7,4;12,978;7,2
ts250912;Fear City: New York vs The Mafia;SHOW;2020;TV-MA;['crime', 'documentation'];7,1;10,282;6,9
ts219162;Inside Bill's Brain: Decoding Bill Gates;SHOW;2019;TV-14;['documentation'];7,9;6,426;7,5
tm316311;Wasp Network;MOVIE;2020;R;['thriller', 'drama', 'crime'];5,9;10,195;6,1
tm375883;Klaus;MOVIE;2019;PG;['fantasy', 'comedy', 'family', 'animation', 'european'];8,1;20,85;8,3
ts268560;The Uncanny Counter;SHOW;2020;TV-14;['drama', 'thriller', 'action', 'fantasy', 'horror'];8,1;28,255;8,8
ts306090;GREAT PRETENDER;SHOW;2020;TV-MA;['drama', 'action', 'animation', 'comedy', 'crime'];7,9;13,641;7,6
tm974366;We Can Be Heroes;MOVIE;2020;PG;['fantasy', 'drama', 'family', 'action', 'comedy'];4,7;72,986;6,2
tm443179;All the Bright Places;MOVIE;2020;;['romance', 'drama'];6,5;81,765;7,7
tm498034;The Last Blockbuster;MOVIE;2020;;['documentation'];6,7;8,213;6,6
tm446609;The Great Hack;MOVIE;2019;;['documentation', 'history'];7,1;15,376;6,9
ts105542;The Baker and the Beauty;SHOW;2020;TV-14;['comedy', 'drama', 'romance'];7,3;8,545;8,1
ts83107;V Wars;SHOW;2019;TV-MA;['scifi', 'drama', 'horror'];6;19,7;7,7
ts251782;High Score;SHOW;2020;TV-14;['documentation', 'history'];7,4;13,282;7,6
tm810547;Night in Paradise;MOVIE;2020;;['thriller', 'drama', 'action', 'crime'];6,7;61,796;6,9
tm919864;The Disciple;MOVIE;2020;;['drama', 'music'];7,1;3,49;6,8
ts88721;Special;SHOW;2019;TV-MA;['comedy', 'drama'];7,6;6,88;6,7
ts89347;Street Food;SHOW;2019;TV-G;['documentation'];7,9;4,101;7,9
ts236091;Oh My Baby;SHOW;2020;TV-14;['comedy', 'family', 'drama', 'romance'];7,2;4,131;7
tm827508;The Boys in the Band;MOVIE;2020;R;['drama'];6,8;11,082;6,8
tm845415;Miss Americana;MOVIE;2020;R;['music', 'documentation'];7,4;16,672;7,9
ts89747;High Seas;SHOW;2019;TV-MA;['crime', 'drama', 'comedy'];6,8;20,911;7
ts81646;Chambers;SHOW;2019;TV-MA;['drama', 'thriller', 'fantasy', 'horror'];6,4;13,586;6,8
tm822246;The Forty-Year-Old Version;MOVIE;2020;R;['comedy', 'drama', 'music'];7,2;11,646;6,9
ts108392;The Letter for the King;SHOW;2020;TV-PG;['action', 'family', 'fantasy', 'scifi'];5,9;8,039;7,1
ts236685;Lies and Deceit;SHOW;2020;;['thriller'];;5,086;5,2
